epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.325,1.20825,17.1555,1.06574,0.00027,0.4,0.0368,0.0133,0.78052,46.1393,0.65409,0.000368925,0.000368925,0.000368925
2,573.664,1.4694,13.3172,1.22737,0.0002,0.35977,0.04674,0.02202,0.93157,33.5459,0.72553,0.000724621,0.000724621,0.000724621
3,854.795,1.46882,10.1822,1.21217,0.8722,0.02963,0.03082,0.01014,1.08734,23.4376,0.82681,0.00106565,0.00106565,0.00106565
4,1341.19,1.65577,6.58703,1.35952,0.42469,0.34074,0.03393,0.0155,0.92672,11.2334,0.70845,0.00104501,0.00104501,0.00104501
5,1669.26,1.48131,5.15821,1.28618,0.6416,0.05452,0.08506,0.05061,0.86387,7.80667,0.66497,0.00102301,0.00102301,0.00102301
6,1915.42,1.51563,4.20372,1.26556,0.46302,0.10655,0.20545,0.12228,0.82691,6.41903,0.64851,0.00100101,0.00100101,0.00100101
7,2164.59,1.35084,3.64433,1.1704,0.43754,0.09929,0.08747,0.04458,0.94709,5.80323,0.69675,0.000979013,0.000979013,0.000979013
8,2408.9,1.33549,3.3215,1.17917,0.65323,0.05926,0.05732,0.03062,0.82518,4.13633,0.61845,0.000957015,0.000957015,0.000957015
9,2657.09,1.35556,3.21772,1.18719,0.29245,0.32422,0.09647,0.04798,0.84161,3.73914,0.65645,0.000935018,0.000935018,0.000935018
10,2898.86,1.26521,2.97614,1.12578,0.02862,0.70701,0.12419,0.06105,0.76381,3.06719,0.61456,0.00091302,0.00091302,0.00091302
11,3141.28,1.33184,2.85213,1.19874,0.16049,0.27783,0.16042,0.07131,0.7658,3.65808,0.57112,0.000891022,0.000891022,0.000891022
12,3476.54,1.24609,2.72217,1.14998,0.36785,0.21219,0.1625,0.07918,0.81908,3.3387,0.61583,0.000869024,0.000869024,0.000869024
13,3848.92,1.29893,2.7803,1.16472,0.75233,0.21481,0.16532,0.06544,0.85597,2.7975,0.68249,0.000847026,0.000847026,0.000847026
14,4234.59,1.27722,2.65334,1.12748,0.74983,0.22222,0.16806,0.06441,0.77024,4.03832,0.62427,0.000825029,0.000825029,0.000825029
15,4589.85,1.22087,2.56321,1.14164,0.78088,0.24444,0.2148,0.11772,0.73828,2.82847,0.58027,0.000803031,0.000803031,0.000803031
16,5128.28,1.26728,2.57387,1.14996,0.75037,0.20548,0.15218,0.0694,0.75878,3.5112,0.62445,0.000781033,0.000781033,0.000781033
17,5712.74,1.23564,2.4565,1.14301,0.78921,0.2,0.20295,0.09558,0.84122,3.02456,0.66703,0.000759035,0.000759035,0.000759035
18,6321.67,1.20145,2.40891,1.10017,0.60739,0.30359,0.19981,0.10506,0.7856,2.96787,0.60883,0.000737037,0.000737037,0.000737037
19,6774.61,1.16432,2.38893,1.08447,0.33125,0.26359,0.17694,0.08155,0.7596,2.47645,0.60517,0.00071504,0.00071504,0.00071504
20,7124.85,1.2215,2.34347,1.1207,0.81693,0.21333,0.23086,0.11315,0.80925,2.66592,0.61852,0.000693042,0.000693042,0.000693042
21,7435.69,1.09121,2.27023,1.04747,0.82101,0.19259,0.18799,0.09193,0.8361,2.17057,0.65598,0.000671044,0.000671044,0.000671044
22,7830.56,1.13974,2.24951,1.04553,0.16018,0.30493,0.23438,0.13219,0.81387,2.18436,0.63841,0.000649046,0.000649046,0.000649046
23,8084.83,1.10002,2.20733,1.04886,0.35222,0.18667,0.17127,0.08039,0.81804,2.56013,0.63671,0.000627048,0.000627048,0.000627048
24,8422.8,1.1233,2.24489,1.0533,0.7687,0.23317,0.22201,0.10777,0.77866,2.14296,0.62343,0.000605051,0.000605051,0.000605051
25,8776.1,1.06365,2.10136,1.033,0.7336,0.24741,0.17461,0.08725,0.70952,2.4416,0.58913,0.000583053,0.000583053,0.000583053
26,9026.94,1.06824,2.03507,1.03102,0.43602,0.23877,0.20512,0.10716,0.78,1.88313,0.59642,0.000561055,0.000561055,0.000561055
27,9278.94,1.11863,2.09428,1.07497,0.43329,0.31191,0.24514,0.12365,0.68793,2.23765,0.54918,0.000539057,0.000539057,0.000539057
28,9701.53,1.09526,2.01667,1.05076,0.7736,0.23335,0.20353,0.10752,0.68923,2.38982,0.52781,0.000517059,0.000517059,0.000517059
29,10317.3,1.02151,1.97131,1.03376,0.67813,0.37711,0.29036,0.15135,0.73726,2.09315,0.58086,0.000495062,0.000495062,0.000495062
30,10909.1,1.03634,1.90727,1.04508,0.18146,0.38291,0.21595,0.11122,0.70511,2.49611,0.55607,0.000473064,0.000473064,0.000473064
31,11490.3,1.02122,2.00158,1.01404,0.15905,0.31191,0.23694,0.12557,0.70319,2.03714,0.54268,0.000451066,0.000451066,0.000451066
32,12075.3,1.03092,1.92917,1.01862,0.79067,0.21185,0.2324,0.10322,0.7802,1.8018,0.60964,0.000429068,0.000429068,0.000429068
