epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.359,1.14215,2.20718,1.12184,0.40713,0.25663,0.23915,0.11218,0.76599,2.51152,0.64577,0.000368946,0.000368946,0.000368946
2,736.233,1.18371,2.33491,1.12272,0.14278,0.22187,0.19162,0.08068,0.79146,2.11665,0.68212,0.000714883,0.000714883,0.000714883
3,1102.34,1.1757,2.29775,1.1302,0.35409,0.37911,0.22111,0.10002,0.82077,2.3197,0.64842,0.00103638,0.00103638,0.00103638
4,1365.41,1.26984,2.40208,1.16241,0.15852,0.37993,0.26766,0.13559,0.86335,2.67046,0.69072,0.00100101,0.00100101,0.00100101
5,1628.57,1.21925,2.31298,1.16902,0.80987,0.22769,0.23513,0.1029,0.79796,2.76825,0.65049,0.000964348,0.000964348,0.000964348
6,1929.93,1.22842,2.31623,1.18041,0.4098,0.27239,0.20549,0.10249,0.79503,2.58986,0.66671,0.000927685,0.000927685,0.000927685
7,2191.09,1.23511,2.14608,1.15869,0.18447,0.39157,0.24769,0.12434,0.83784,2.22183,0.68998,0.000891022,0.000891022,0.000891022
8,2449.38,1.21312,2.17703,1.1474,0.2561,0.26853,0.27872,0.13631,0.73673,2.87898,0.63991,0.000854359,0.000854359,0.000854359
9,2859.08,1.19475,2.09792,1.135,0.62015,0.36931,0.27252,0.13319,0.7904,1.90749,0.67932,0.000817696,0.000817696,0.000817696
10,3183.44,1.20771,2.20194,1.14963,0.20719,0.28572,0.26339,0.15109,0.87963,2.00448,0.71992,0.000781033,0.000781033,0.000781033
11,3813.04,1.17756,2.14692,1.1346,0.22627,0.39808,0.31062,0.1534,0.8403,1.87052,0.71163,0.00074437,0.00074437,0.00074437
12,4298.12,1.13443,2.09993,1.09374,0.5547,0.2749,0.27364,0.16,0.77213,3.08063,0.64274,0.000707707,0.000707707,0.000707707
13,4557.93,1.18095,2.07617,1.1127,0.40986,0.34836,0.26982,0.12828,0.80633,1.92304,0.65958,0.000671044,0.000671044,0.000671044
14,4893.47,1.18495,2.06344,1.13965,0.17552,0.35183,0.22111,0.11103,0.80464,2.27436,0.66193,0.000634381,0.000634381,0.000634381
